,title,price,link
10,"Primebook S 4G, 2024(New, WiFi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C) (4GB/128GB eMMC Storage, Black)  ","15,880",https://amazon.in//Primebook-Android-Based-MediaTek-MT8788/dp/B0D1Y359QD/ref=sr_1_69?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4&dib_tag=se&keywords=laptop&qid=1725434361&sprefix=laptop%2Caps%2C239&sr=8-69
11,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  ","22,490",https://amazon.in//Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=sr_1_70?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4&dib_tag=se&keywords=laptop&qid=1725434361&sprefix=laptop%2Caps%2C239&sr=8-70
12,"Dell 15 Thin & Light Laptop, Intel Core i5-1334U Processor, 16GB DDR4 + 1TB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Backlit KB, Windows 11 + MSO'21, 15 Months McAfee, Platinum Silver, 1.65kg  ","59,750",https://amazon.in//Dell-i5-1334U-Processor-39-62cm-Platinum/dp/B0D83D2QSC/ref=sr_1_71?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4&dib_tag=se&keywords=laptop&qid=1725434361&sprefix=laptop%2Caps%2C239&sr=8-71
13,"ASUS Vivobook 14 Thin and Light Laptop, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS  ","35,990",https://amazon.in//ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK321WS/dp/B0CCP9PH92/ref=sr_1_7?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.xs080xlztH2YMlhp2jP0k5oWtWcdPBPWNaNdaPkXvBBcHmZvn4lyYvqHoWDH1Sc0d015FXCXJBuT7Kfv74Z87S-FvWVfV4DpyjoVTSByw6lvADbxJiSn_snSPx2tl-uWph7kZ7CfY9lU0dSc7sApWwNjwi7uaOHLW4J8-dO_5nrDdNioSyLQtekNPM-MmkO9jqn-DH3gSGEj-ElcNcTrHWT9NkX1IMNLtcndd19AlYc.BJEm9X5B-o3mOxgX9BZc29NnWbJNcXbVK7b80UQePAM&dib_tag=se&keywords=laptop&qid=1725434340&sprefix=laptop%2Caps%2C239&sr=8-7
14,"ASUS Vivobook 16 (2023), Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+, Thin & Light Laptop (16GB/1TB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg), X1605VA-MB957WS  ","99,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB957WS/dp/B0CHMXTF6S/ref=sr_1_72?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4&dib_tag=se&keywords=laptop&qid=1725434361&sprefix=laptop%2Caps%2C239&sr=8-72
15,"(Refurbished) Lenovo ThinkPad 7th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","20,799",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR4B2JLF/ref=sr_1_73?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4&dib_tag=se&keywords=laptop&qid=1725434361&sprefix=laptop%2Caps%2C239&sr=8-73
16,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","32,990",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_74?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4&dib_tag=se&keywords=laptop&qid=1725434361&sprefix=laptop%2Caps%2C239&sr=8-74
17,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR 4GB /Cosmos Gray/1.86Kg), B12UCX-1695IN  ","53,100",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzkwMTI3NzgwNDMyMDkzOjE3MjU0MzQzNjE6c3BfbXRmOjMwMDI0NjA4OTY2MTEzMjo6MDo6&url=%2FMSI-i5-12450H-Windows-GeForce-B12UCX-1695IN%2Fdp%2FB0CV9S9VTD%2Fref%3Dsr_1_75_sspa%3Fcrid%3D2XY1OKBWIK0FH%26dib%3DeyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725434361%26sprefix%3Dlaptop%252Caps%252C239%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
18,"Lenovo Thinkpad P16s 13th Gen Intel Core i7 16""(40.64 cm) WUXGA IPS 300nits Thin and Light Workstation (16GB/1TB SSD/Windows 11 Pro/Backlit/Villi Black/3Y Premier Support/1.70Kg), 21HKS04W00  ","1,12,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzkwMTI3NzgwNDMyMDkzOjE3MjU0MzQzNjE6c3BfbXRmOjMwMDMxNDM1Njk4NjUzMjo6MDo6&url=%2FLenovo-Thinkpad-300nits-Workstation-21HKS04W00%2Fdp%2FB0D8L2HWCP%2Fref%3Dsr_1_76_sspa%3Fcrid%3D2XY1OKBWIK0FH%26dib%3DeyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725434361%26sprefix%3Dlaptop%252Caps%252C239%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
19,"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (35.5cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.46Kg), 83BF000UIN  ","59,841",https://amazon.in//Lenovo-IdeaPad-12450H-Backlit-83BF000UIN/dp/B0CFF518HZ/ref=sr_1_77?crid=2XY1OKBWIK0FH&dib=eyJ2IjoiMSJ9.CX4PpikaQj_wG2VzCk2bJCQMVm-Ajj7Oa5byXZLJvLG5NuINVKpMNX3udt-MjBZxI_Rp0ju2u0yUAJI-xM2CAp3RIhyVJf59CnUoqU3DbN-JNQtoHdHHqeRFfY0D_G1PNHToqXxdEalwrFx6mqUCXJSbrgwtg_h5WiRd_5gZ0n6pX5dgSHJ0U42cg3yHmFM-tX3Emdjp4o43tErGyGOaqS5KAmrIxcd9XtwvWP1aieI.cN6Fr1Rdap6VTHj2cSpKCUtIZJdCPhW7JoYb_SAZFj4&dib_tag=se&keywords=laptop&qid=1725434361&sprefix=laptop%2Caps%2C239&sr=8-77
